cpse,material_code,material_description,category,material,size,unit,grade,benchmark_group_id
ONGC,ONG8801,CI Centrifugal Pump 20 Cubic Meter Hour,Pump,Cast Iron,20 m3/hr,EA,CI,G024
BHEL,BHL1025,Centrifugal Pump 40 m3/hr,Pump,Cast Iron,40 m3/hr,NOS,CI,G025
NTPC,NTP3302,40 Cubic Meter Per Hour Centrifugal Pump,Pump,CI,40 m3/hr,Nos,Cast Iron,G025
SAIL,STL9002,Centrifugal Pump Capacity 40 M3/Hr,Pump,Cast Iron,40 M3/Hr,Number,CI,G025
ONGC,ONG8802,CI Centrifugal Pump 40 m3 per hour,Pump,Cast Iron,40 m3/hr,EA,CI,G025
BHEL,BHL1026,Lithium Grease EP2,Lubricant,Lithium Base,EP2,KG,NLGI 2,G026
NTPC,NTP4401,EP2 Lithium Base Grease,Lubricant,Lithium,EP2,Kg,NLGI-2,G026
SAIL,STL10001,Lithium Grease NLGI 2 EP2,Lubricant,Lithium Base,EP2,KG,NLGI2,G026
ONGC,ONG9901,EP-2 Lithium Grease,Lubricant,Lithium,EP2,Kg,NLGI 2,G026
BHEL,BHL1027,Industrial Gear Oil 220,Lubricant,Mineral Oil,220,LTR,ISO VG 220,G027
NTPC,NTP4402,Gear Lubricating Oil ISO VG 220,Lubricant,Mineral Oil,220,Litre,ISO VG220,G027
SAIL,STL10002,Industrial Gear Oil Grade 220,Lubricant,Mineral Oil,VG220,LT,ISO VG 220,G027
ONGC,ONG9902,Gear Oil VG 220 Industrial,Lubricant,Mineral,220,L,VG220,G027
BHEL,BHL1028,Carbon Steel Welding Electrode 3.15mm,Welding,Carbon Steel,3.15 mm,KG,E6013,G028
NTPC,NTP5501,E6013 Welding Electrode 3.15 MM,Welding,CS,3.15mm,Kg,E6013,G028
SAIL,STL11001,CS Welding Rod E6013 3.15mm,Welding,Carbon Steel,3.15 mm,KG,E6013,G028
ONGC,ONG10001,Welding Electrode E6013 Dia 3.15 MM,Welding,CS,3.15mm,Kg,E6013,G028
BHEL,BHL1029,Stainless Steel Welding Electrode 3.15mm,Welding,Stainless Steel,3.15 mm,KG,E308L-16,G029
NTPC,NTP5502,E308L Stainless Steel Welding Rod 3.15 MM,Welding,SS,3.15mm,Kg,E308L-16,G029
SAIL,STL11002,SS Welding Electrode E308L 3.15mm,Welding,Stainless Steel,3.15 mm,KG,E308L,G029
ONGC,ONG10002,Stainless Welding Electrode Dia 3.15 MM,Welding,SS,3.15mm,Kg,E308L,G029
BHEL,BHL1030,Safety Helmet ISI Approved,PPE,ABS Plastic,Standard,NOS,IS 2925,G030
NTPC,NTP6605,Industrial Safety Helmet ISI Marked,PPE,ABS,Standard,Nos,IS2925,G030
SAIL,STL12001,ISI Safety Helmet Industrial Type,PPE,ABS Plastic,Standard,Number,IS 2925,G030
ONGC,ONG11001,Industrial Protective Safety Helmet,PPE,ABS,Standard,EA,ISI,G030
