cpse,material_code,material_description,category,material,size,unit,grade,benchmark_group_id,material_description_clean,category_clean,material_clean,size_clean,unit_clean,grade_clean,combined_text,extracted_size,extracted_material,extracted_grade
NTPC,NTP8801,50 NB EPDM Gasket,Gasket,EPDM,50 NB,Nos,EPDM,G014,50 nb epdm gasket,gasket,epdm,50 nb,nos,epdm,50 nb epdm gasket gasket epdm 50 nb epdm,50 nb,,epdm
SAIL,STL5001,EPDM GASKET 50NB,Gasket,EPDM Rubber,50NB,Number,EPDM,G014,epdm gasket 50nb,gasket,epdm rubber,50nb,number,epdm,epdm gasket 50nb gasket epdm rubber 50nb epdm,50nb,,epdm
ONGC,ONG4401,EPDM Rubber Gasket Size 50 NB,Gasket,EPDM,50 NB,EA,EPDM,G014,epdm rubber gasket size 50 nb,gasket,epdm,50 nb,ea,epdm,epdm rubber gasket size 50 nb gasket epdm 50 nb epdm,50 nb,,epdm
BHEL,BHL1015,Spiral Wound Gasket 100 NB,Gasket,Graphite SS,100 NB,NOS,SS316/Graphite,G015,spiral wound gasket 100 nb,gasket,graphite ss,100 nb,nos,ss316/graphite,spiral wound gasket 100 nb gasket graphite ss 100 nb ss316/graphite,100 nb,stainless steel,ss316
NTPC,NTP8802,100 NB Spiral Wound Graphite Gasket,Gasket,Graphite SS,100 NB,Nos,316/Graphite,G015,100 nb spiral wound graphite gasket,gasket,graphite ss,100 nb,nos,316/graphite,100 nb spiral wound graphite gasket gasket graphite ss 100 nb 316/graphite,100 nb,stainless steel,316
SAIL,STL5002,Spiral Wound Gasket DN100,Gasket,SS Graphite,DN100,Number,SS316,G015,spiral wound gasket dn100,gasket,ss graphite,dn100,number,ss316,spiral wound gasket dn100 gasket ss graphite dn100 ss316,,stainless steel,ss316
ONGC,ONG4402,Spiral Wound Gasket 100 NB Graphite,Gasket,Graphite SS,100 NB,EA,316/Graphite,G015,spiral wound gasket 100 nb graphite,gasket,graphite ss,100 nb,ea,316/graphite,spiral wound gasket 100 nb graphite gasket graphite ss 100 nb 316/graphite,100 nb,stainless steel,316
BHEL,BHL1016,Copper Cable 2.5 Sqmm,Cable,Copper,2.5 sqmm,MTR,FR,G016,copper cable 2.5 sqmm,cable,copper,2.5 sqmm,mtr,fr,copper cable 2.5 sqmm cable copper 2.5 sqmm fr,,copper,
NTPC,NTP9901,2.5 sq mm Copper Electrical Cable,Cable,Copper,2.5 sq mm,Meter,FR,G016,2.5 sq mm copper electrical cable,cable,copper,2.5 sq mm,meter,fr,2.5 sq mm copper electrical cable cable copper 2.5 sq mm fr,,copper,
SAIL,STL6001,Copper Wire Cable 2.5mm2,Cable,Copper,2.5 mm2,Metre,FR,G016,copper wire cable 2.5mm2,cable,copper,2.5 mm2,metre,fr,copper wire cable 2.5mm2 cable copper 2.5 mm2 fr,,copper,
ONGC,ONG5501,2.5 Square MM Copper Cable,Cable,Cu,2.5 mm2,M,FR,G016,2.5 square mm copper cable,cable,cu,2.5 mm2,m,fr,2.5 square mm copper cable cable cu 2.5 mm2 fr,,copper,
BHEL,BHL1017,Aluminium Cable 16 Sqmm,Cable,Aluminium,16 sqmm,MTR,XLPE,G017,aluminium cable 16 sqmm,cable,aluminium,16 sqmm,mtr,xlpe,aluminium cable 16 sqmm cable aluminium 16 sqmm xlpe,,aluminium,
NTPC,NTP9902,16 Sq MM Aluminium Power Cable,Cable,Aluminium,16 sq mm,Meter,XLPE,G017,16 sq mm aluminium power cable,cable,aluminium,16 sq mm,meter,xlpe,16 sq mm aluminium power cable cable aluminium 16 sq mm xlpe,,aluminium,
SAIL,STL6002,Aluminium Cable 16mm2 XLPE,Cable,Al,16 mm2,Metre,XLPE,G017,aluminium cable 16mm2 xlpe,cable,al,16 mm2,metre,xlpe,aluminium cable 16mm2 xlpe cable al 16 mm2 xlpe,,aluminium,
ONGC,ONG5502,16 Square MM Aluminium XLPE Cable,Cable,Aluminium,16 sqmm,M,XLPE,G017,16 square mm aluminium xlpe cable,cable,aluminium,16 sqmm,m,xlpe,16 square mm aluminium xlpe cable cable aluminium 16 sqmm xlpe,,aluminium,
BHEL,BHL1018,FRLS Copper Cable 4 Sqmm,Cable,Copper,4 sqmm,MTR,FRLS,G018,frls copper cable 4 sqmm,cable,copper,4 sqmm,mtr,frls,frls copper cable 4 sqmm cable copper 4 sqmm frls,,copper,
NTPC,NTP9903,4 Sq MM Copper FRLS Cable,Cable,Cu,4 sq mm,Meter,FRLS,G018,4 sq mm copper frls cable,cable,cu,4 sq mm,meter,frls,4 sq mm copper frls cable cable cu 4 sq mm frls,,copper,
SAIL,STL6003,Copper Cable 4mm2 Flame Retardant Low Smoke,Cable,Copper,4 mm2,Metre,FRLS,G018,copper cable 4mm2 flame retardant low smoke,cable,copper,4 mm2,metre,frls,copper cable 4mm2 flame retardant low smoke cable copper 4 mm2 frls,,copper,
ONGC,ONG5503,FRLS Cu Cable 4 Square MM,Cable,Cu,4 sqmm,M,FRLS,G018,frls cu cable 4 square mm,cable,cu,4 sqmm,m,frls,frls cu cable 4 square mm cable cu 4 sqmm frls,,copper,
BHEL,BHL1019,MS Seamless Pipe 50 NB Sch40,Pipe,Mild Steel,50 NB, MTR,Sch 40,G019,ms seamless pipe 50 nb sch40,pipe,mild steel,50 nb,mtr,sch 40,ms seamless pipe 50 nb sch40 pipe mild steel 50 nb sch 40,50 nb,mild steel,sch40
NTPC,NTP1101,50 NB Carbon Steel Seamless Pipe Schedule 40,Pipe,CS,50 NB,Meter,Schedule 40,G019,50 nb carbon steel seamless pipe schedule 40,pipe,cs,50 nb,meter,schedule 40,50 nb carbon steel seamless pipe schedule 40 pipe cs 50 nb schedule 40,50 nb,carbon steel,schedule 40
SAIL,STL7001,CS SEAMLESS PIPE DN50 SCH40,Pipe,Carbon Steel,DN50,Metre,Sch40,G019,cs seamless pipe dn50 sch40,pipe,carbon steel,dn50,metre,sch40,cs seamless pipe dn50 sch40 pipe carbon steel dn50 sch40,,carbon steel,sch40
ONGC,ONG6601,Carbon Steel Seamless Pipe 50 NB Schedule 40,Pipe,CS,50 NB,M,40,G019,carbon steel seamless pipe 50 nb schedule 40,pipe,cs,50 nb,m,40,carbon steel seamless pipe 50 nb schedule 40 pipe cs 50 nb 40,50 nb,carbon steel,schedule 40
BHEL,BHL1020,SS Seamless Pipe 25 NB Sch10,Pipe,Stainless Steel,25 NB,MTR,Sch 10,G020,ss seamless pipe 25 nb sch10,pipe,stainless steel,25 nb,mtr,sch 10,ss seamless pipe 25 nb sch10 pipe stainless steel 25 nb sch 10,25 nb,stainless steel,sch10
NTPC,NTP1102,Stainless Steel Seamless Pipe 25 NB Schedule 10,Pipe,SS,25 NB,Meter,Schedule 10,G020,stainless steel seamless pipe 25 nb schedule 10,pipe,ss,25 nb,meter,schedule 10,stainless steel seamless pipe 25 nb schedule 10 pipe ss 25 nb schedule 10,25 nb,stainless steel,schedule 10
SAIL,STL7002,SS SEAMLESS PIPE DN25 SCH10,Pipe,SS,DN25,Metre,Sch10,G020,ss seamless pipe dn25 sch10,pipe,ss,dn25,metre,sch10,ss seamless pipe dn25 sch10 pipe ss dn25 sch10,,stainless steel,sch10
ONGC,ONG6602,Stainless Steel Pipe 25 NB Schedule 10,Pipe,Stainless Steel,25 NB,M,10,G020,stainless steel pipe 25 nb schedule 10,pipe,stainless steel,25 nb,m,10,stainless steel pipe 25 nb schedule 10 pipe stainless steel 25 nb 10,25 nb,stainless steel,schedule 10
BHEL,BHL1021,GI Pipe 40 NB Medium Class,Pipe,Galvanized Iron,40 NB,MTR,Medium,G021,gi pipe 40 nb medium class,pipe,galvanized iron,40 nb,mtr,medium,gi pipe 40 nb medium class pipe galvanized iron 40 nb medium,40 nb,galvanized steel,
NTPC,NTP1103,40 NB Galvanized Iron Pipe Medium Grade,Pipe,GI,40 NB,Meter,Medium,G021,40 nb galvanized iron pipe medium grade,pipe,gi,40 nb,meter,medium,40 nb galvanized iron pipe medium grade pipe gi 40 nb medium,40 nb,galvanized steel,
SAIL,STL7003,GI PIPE DN40 MEDIUM,Pipe,Galvanized Steel,DN40,Metre,Medium,G021,gi pipe dn40 medium,pipe,galvanized steel,dn40,metre,medium,gi pipe dn40 medium pipe galvanized steel dn40 medium,,galvanized steel,
ONGC,ONG6603,Galvanised Pipe 40 NB Medium Class,Pipe,GI,40 NB,M,Medium,G021,galvanised pipe 40 nb medium class,pipe,gi,40 nb,m,medium,galvanised pipe 40 nb medium class pipe gi 40 nb medium,40 nb,galvanized steel,
BHEL,BHL1022,Induction Motor 5 HP 415V,Motor,Three Phase,5 HP,NOS,IE2,G022,induction motor 5 hp 415v,motor,three phase,5 hp,nos,ie2,induction motor 5 hp 415v motor three phase 5 hp ie2,5 hp,,ie2
NTPC,NTP2201,5 HP Three Phase Induction Motor 415 Volt,Motor,3 Phase,5 HP,Nos,IE2,G022,5 hp three phase induction motor 415 volt,motor,3 phase,5 hp,nos,ie2,5 hp three phase induction motor 415 volt motor 3 phase 5 hp ie2,5 hp,,ie2
SAIL,STL8001,3 PH INDUCTION MOTOR 5HP 415V,Motor,Three Phase,5HP,Number,IE2,G022,3 ph induction motor 5hp 415v,motor,three phase,5hp,number,ie2,3 ph induction motor 5hp 415v motor three phase 5hp ie2,5hp,,ie2
ONGC,ONG7701,Three Phase Motor 5 HP 415 V,Motor,3 Phase,5 HP,EA,IE2,G022,three phase motor 5 hp 415 v,motor,3 phase,5 hp,ea,ie2,three phase motor 5 hp 415 v motor 3 phase 5 hp ie2,5 hp,,ie2
BHEL,BHL1023,Induction Motor 10 HP 415V,Motor,Three Phase,10 HP,NOS,IE3,G023,induction motor 10 hp 415v,motor,three phase,10 hp,nos,ie3,induction motor 10 hp 415v motor three phase 10 hp ie3,10 hp,,ie3
NTPC,NTP2202,10 HP Three Phase Motor 415 Volt,Motor,3 Phase,10 HP,Nos,IE3,G023,10 hp three phase motor 415 volt,motor,3 phase,10 hp,nos,ie3,10 hp three phase motor 415 volt motor 3 phase 10 hp ie3,10 hp,,ie3
SAIL,STL8002,3 PH MOTOR 10HP 415V IE3,Motor,Three Phase,10HP,Number,IE3,G023,3 ph motor 10hp 415v ie3,motor,three phase,10hp,number,ie3,3 ph motor 10hp 415v ie3 motor three phase 10hp ie3,10hp,,ie3
ONGC,ONG7702,Three Phase Induction Motor 10 HP,Motor,3 Phase,10 HP,EA,IE3,G023,three phase induction motor 10 hp,motor,3 phase,10 hp,ea,ie3,three phase induction motor 10 hp motor 3 phase 10 hp ie3,10 hp,,ie3
BHEL,BHL1024,Centrifugal Pump 20 m3/hr,Pump,Cast Iron,20 m3/hr,NOS,CI,G024,centrifugal pump 20 m3/hr,pump,cast iron,20 m3/hr,nos,ci,centrifugal pump 20 m3/hr pump cast iron 20 m3/hr ci,20 m3/hr,cast iron,
NTPC,NTP3301,20 Cubic Meter Per Hour Centrifugal Pump,Pump,Cast Iron,20 m3/hr,Nos,CI,G024,20 cubic meter per hour centrifugal pump,pump,cast iron,20 m3/hr,nos,ci,20 cubic meter per hour centrifugal pump pump cast iron 20 m3/hr ci,20 m3/hr,cast iron,
SAIL,STL9001,Centrifugal Pump Capacity 20 M3/Hr,Pump,CI,20 M3/Hr,Number,Cast Iron,G024,centrifugal pump capacity 20 m3/hr,pump,ci,20 m3/hr,number,cast iron,centrifugal pump capacity 20 m3/hr pump ci 20 m3/hr cast iron,20 m3/hr,cast iron,
ONGC,ONG8801,CI Centrifugal Pump 20 Cubic Meter Hour,Pump,Cast Iron,20 m3/hr,EA,CI,G024,ci centrifugal pump 20 cubic meter hour,pump,cast iron,20 m3/hr,ea,ci,ci centrifugal pump 20 cubic meter hour pump cast iron 20 m3/hr ci,20 m3/hr,cast iron,
BHEL,BHL1025,Centrifugal Pump 40 m3/hr,Pump,Cast Iron,40 m3/hr,NOS,CI,G025,centrifugal pump 40 m3/hr,pump,cast iron,40 m3/hr,nos,ci,centrifugal pump 40 m3/hr pump cast iron 40 m3/hr ci,40 m3/hr,cast iron,
NTPC,NTP3302,40 Cubic Meter Per Hour Centrifugal Pump,Pump,CI,40 m3/hr,Nos,Cast Iron,G025,40 cubic meter per hour centrifugal pump,pump,ci,40 m3/hr,nos,cast iron,40 cubic meter per hour centrifugal pump pump ci 40 m3/hr cast iron,40 m3/hr,cast iron,
SAIL,STL9002,Centrifugal Pump Capacity 40 M3/Hr,Pump,Cast Iron,40 M3/Hr,Number,CI,G025,centrifugal pump capacity 40 m3/hr,pump,cast iron,40 m3/hr,number,ci,centrifugal pump capacity 40 m3/hr pump cast iron 40 m3/hr ci,40 m3/hr,cast iron,
ONGC,ONG8802,CI Centrifugal Pump 40 m3 per hour,Pump,Cast Iron,40 m3/hr,EA,CI,G025,ci centrifugal pump 40 m3 per hour,pump,cast iron,40 m3/hr,ea,ci,ci centrifugal pump 40 m3 per hour pump cast iron 40 m3/hr ci,40 m3/hr,cast iron,
BHEL,BHL1026,Lithium Grease EP2,Lubricant,Lithium Base,EP2,KG,NLGI 2,G026,lithium grease ep2,lubricant,lithium base,ep2,kg,nlgi 2,lithium grease ep2 lubricant lithium base ep2 nlgi 2,,,ep2
NTPC,NTP4401,EP2 Lithium Base Grease,Lubricant,Lithium,EP2,Kg,NLGI-2,G026,ep2 lithium base grease,lubricant,lithium,ep2,kg,nlgi-2,ep2 lithium base grease lubricant lithium ep2 nlgi-2,,,ep2
SAIL,STL10001,Lithium Grease NLGI 2 EP2,Lubricant,Lithium Base,EP2,KG,NLGI2,G026,lithium grease nlgi 2 ep2,lubricant,lithium base,ep2,kg,nlgi2,lithium grease nlgi 2 ep2 lubricant lithium base ep2 nlgi2,,,ep2
ONGC,ONG9901,EP-2 Lithium Grease,Lubricant,Lithium,EP2,Kg,NLGI 2,G026,ep-2 lithium grease,lubricant,lithium,ep2,kg,nlgi 2,ep-2 lithium grease lubricant lithium ep2 nlgi 2,,,ep2
BHEL,BHL1027,Industrial Gear Oil 220,Lubricant,Mineral Oil,220,LTR,ISO VG 220,G027,industrial gear oil 220,lubricant,mineral oil,220,ltr,iso vg 220,industrial gear oil 220 lubricant mineral oil 220 iso vg 220,,,
NTPC,NTP4402,Gear Lubricating Oil ISO VG 220,Lubricant,Mineral Oil,220,Litre,ISO VG220,G027,gear lubricating oil iso vg 220,lubricant,mineral oil,220,litre,iso vg220,gear lubricating oil iso vg 220 lubricant mineral oil 220 iso vg220,,,
