cpse_1,material_code_1,material_description_1,cpse_2,material_code_2,material_description_2,category,semantic_score,attribute_score,lexical_score,hybrid_score,confidence,conflicts,explanation,same_benchmark_group
NTPC,NTP9903,4 Sq MM Copper FRLS Cable,ONGC,ONG5503,FRLS Cu Cable 4 Square MM,Cable,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1017,Aluminium Cable 16 Sqmm,ONGC,ONG5502,16 Square MM Aluminium XLPE Cable,Cable,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1017,Aluminium Cable 16 Sqmm,SAIL,STL6002,Aluminium Cable 16mm2 XLPE,Cable,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1018,FRLS Copper Cable 4 Sqmm,ONGC,ONG5503,FRLS Cu Cable 4 Square MM,Cable,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1018,FRLS Copper Cable 4 Sqmm,SAIL,STL6003,Copper Cable 4mm2 Flame Retardant Low Smoke,Cable,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1018,FRLS Copper Cable 4 Sqmm,NTPC,NTP9903,4 Sq MM Copper FRLS Cable,Cable,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
SAIL,STL6002,Aluminium Cable 16mm2 XLPE,ONGC,ONG5502,16 Square MM Aluminium XLPE Cable,Cable,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP9902,16 Sq MM Aluminium Power Cable,ONGC,ONG5502,16 Square MM Aluminium XLPE Cable,Cable,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP9902,16 Sq MM Aluminium Power Cable,SAIL,STL6002,Aluminium Cable 16mm2 XLPE,Cable,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP9901,2.5 sq mm Copper Electrical Cable,ONGC,ONG5501,2.5 Square MM Copper Cable,Cable,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP9901,2.5 sq mm Copper Electrical Cable,SAIL,STL6001,Copper Wire Cable 2.5mm2,Cable,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1017,Aluminium Cable 16 Sqmm,NTPC,NTP9902,16 Sq MM Aluminium Power Cable,Cable,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
SAIL,STL6001,Copper Wire Cable 2.5mm2,ONGC,ONG5501,2.5 Square MM Copper Cable,Cable,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1016,Copper Cable 2.5 Sqmm,ONGC,ONG5501,2.5 Square MM Copper Cable,Cable,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1016,Copper Cable 2.5 Sqmm,SAIL,STL6001,Copper Wire Cable 2.5mm2,Cable,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP8802,100 NB Spiral Wound Graphite Gasket,ONGC,ONG4402,Spiral Wound Gasket 100 NB Graphite,Gasket,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1016,Copper Cable 2.5 Sqmm,NTPC,NTP9901,2.5 sq mm Copper Electrical Cable,Cable,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1007,Deep Groove Ball Bearing 6206,NTPC,NTP6602,6206 Deep Groove Bearing,Bearing,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
SAIL,STL3001,Deep Groove Bearing No 6205,ONGC,ONG2201,Ball Bearing 6205 Deep Groove,Bearing,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1002,MS Hex Nut M10,SAIL,STL2046,MS HEX NUT M10,Fastener,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP8801,50 NB EPDM Gasket,ONGC,ONG4401,EPDM Rubber Gasket Size 50 NB,Gasket,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1014,EPDM Rubber Gasket 50 NB,SAIL,STL5001,EPDM GASKET 50NB,Gasket,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
SAIL,STL4004,DI Butterfly Valve 100NB PN16,ONGC,ONG3304,Butterfly Valve Size 100 NB Pressure PN16,Valve,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP7704,100 NB Butterfly Valve PN 16,ONGC,ONG3304,Butterfly Valve Size 100 NB Pressure PN16,Valve,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP7704,100 NB Butterfly Valve PN 16,SAIL,STL4004,DI Butterfly Valve 100NB PN16,Valve,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1013,Butterfly Valve 100 NB PN16,ONGC,ONG3304,Butterfly Valve Size 100 NB Pressure PN16,Valve,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1013,Butterfly Valve 100 NB PN16,SAIL,STL4004,DI Butterfly Valve 100NB PN16,Valve,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1013,Butterfly Valve 100 NB PN16,NTPC,NTP7704,100 NB Butterfly Valve PN 16,Valve,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1012,Globe Valve 25 NB Class 150,SAIL,STL4003,Carbon Steel Globe Valve 25NB Class150,Valve,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP7702,80 NB Gate Valve CL 150,ONGC,ONG3302,Carbon Steel Gate Valve 80 NB,Valve,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1011,Gate Valve 80 NB Class 150,SAIL,STL4002,CS GATE VALVE 80NB CLASS150,Valve,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1010,Gate Valve 50 NB Class 150,SAIL,STL4001,CS Gate Valve 50NB CL150,Valve,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
SAIL,STL3004,Ball Bearing 6305 Deep Groove,ONGC,ONG2204,Deep Groove Bearing No 6305,Bearing,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP6604,6305 Deep Groove Bearing,ONGC,ONG2204,Deep Groove Bearing No 6305,Bearing,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP6604,6305 Deep Groove Bearing,SAIL,STL3004,Ball Bearing 6305 Deep Groove,Bearing,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1009,Deep Groove Ball Bearing 6305,ONGC,ONG2204,Deep Groove Bearing No 6305,Bearing,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1009,Deep Groove Ball Bearing 6305,SAIL,STL3004,Ball Bearing 6305 Deep Groove,Bearing,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1009,Deep Groove Ball Bearing 6305,NTPC,NTP6604,6305 Deep Groove Bearing,Bearing,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
SAIL,STL3003,Taper Roller Bearing No 30205,ONGC,ONG2203,Conical Roller Bearing 30205,Bearing,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP6603,30205 Tapered Roller Bearing,ONGC,ONG2203,Conical Roller Bearing 30205,Bearing,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP6603,30205 Tapered Roller Bearing,SAIL,STL3003,Taper Roller Bearing No 30205,Bearing,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1008,Taper Roller Bearing 30205,ONGC,ONG2203,Conical Roller Bearing 30205,Bearing,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1008,Taper Roller Bearing 30205,SAIL,STL3003,Taper Roller Bearing No 30205,Bearing,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1008,Taper Roller Bearing 30205,NTPC,NTP6603,30205 Tapered Roller Bearing,Bearing,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
SAIL,STL3002,Ball Bearing 6206 Deep Groove,ONGC,ONG2202,Deep Groove Bearing 6206,Bearing,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP6602,6206 Deep Groove Bearing,ONGC,ONG2202,Deep Groove Bearing 6206,Bearing,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP6602,6206 Deep Groove Bearing,SAIL,STL3002,Ball Bearing 6206 Deep Groove,Bearing,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1007,Deep Groove Ball Bearing 6206,ONGC,ONG2202,Deep Groove Bearing 6206,Bearing,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1007,Deep Groove Ball Bearing 6206,SAIL,STL3002,Ball Bearing 6206 Deep Groove,Bearing,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1003,SS Flat Washer M10,ONGC,ONG1103,SS Plain Washer M10,Fastener,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1003,SS Flat Washer M10,SAIL,STL2047,SS WASHER M10 FLAT,Fastener,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP6601,6205 Ball Bearing Deep Groove,SAIL,STL3001,Deep Groove Bearing No 6205,Bearing,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP6601,6205 Ball Bearing Deep Groove,ONGC,ONG2201,Ball Bearing 6205 Deep Groove,Bearing,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP5525,Galvanized Hexagonal Bolt 12mm x 75mm,ONGC,ONG1105,Galvanised Steel Bolt M12 75mm,Fastener,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1004,SS Bolt M10 X 60,SAIL,STL2048,SS HEX BOLT M10-60,Fastener,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
SAIL,STL2047,SS WASHER M10 FLAT,ONGC,ONG1103,SS Plain Washer M10,Fastener,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1030,Safety Helmet ISI Approved,SAIL,STL12001,ISI Safety Helmet Industrial Type,PPE,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1006,Deep Groove Ball Bearing 6205,SAIL,STL3001,Deep Groove Bearing No 6205,Bearing,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1006,Deep Groove Ball Bearing 6205,NTPC,NTP6601,6205 Ball Bearing Deep Groove,Bearing,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP5524,Stainless Steel Hex Bolt 10mm x 60mm,ONGC,ONG1104,Stainless Steel Bolt M10 by 60,Fastener,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1005,GI Hex Bolt M12 X 75,SAIL,STL2049,GI HEX BOLT M12-75,Fastener,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1006,Deep Groove Ball Bearing 6205,ONGC,ONG2201,Ball Bearing 6205 Deep Groove,Bearing,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1026,Lithium Grease EP2,SAIL,STL10001,Lithium Grease NLGI 2 EP2,Lubricant,0.9928,0.6667,0.9846,0.8274000287055969,HIGH CONFIDENCE,grade/specification,"Semantic=0.993, Attribute=0.667, Lexical=0.985. Potential difference: grade/specification.",True
BHEL,BHL1006,Deep Groove Ball Bearing 6205,NTPC,NTP6602,6206 Deep Groove Bearing,Bearing,0.9932,0.6667,0.9677,0.8251000046730042,HIGH CONFIDENCE,size,"Semantic=0.993, Attribute=0.667, Lexical=0.968. Potential difference: size.",False
ONGC,ONG2201,Ball Bearing 6205 Deep Groove,BHEL,BHL1007,Deep Groove Ball Bearing 6206,Bearing,0.9932,0.6667,0.9677,0.8251000046730042,HIGH CONFIDENCE,size,"Semantic=0.993, Attribute=0.667, Lexical=0.968. Potential difference: size.",False
ONGC,ONG2201,Ball Bearing 6205 Deep Groove,SAIL,STL3002,Ball Bearing 6206 Deep Groove,Bearing,0.9932,0.6667,0.9677,0.8251000046730042,HIGH CONFIDENCE,size,"Semantic=0.993, Attribute=0.667, Lexical=0.968. Potential difference: size.",False
BHEL,BHL1006,Deep Groove Ball Bearing 6205,SAIL,STL3002,Ball Bearing 6206 Deep Groove,Bearing,0.9932,0.6667,0.9677,0.8251000046730042,HIGH CONFIDENCE,size,"Semantic=0.993, Attribute=0.667, Lexical=0.968. Potential difference: size.",False
BHEL,BHL1006,Deep Groove Ball Bearing 6205,ONGC,ONG2202,Deep Groove Bearing 6206,Bearing,0.9932,0.6667,0.9677,0.8251000046730042,HIGH CONFIDENCE,size,"Semantic=0.993, Attribute=0.667, Lexical=0.968. Potential difference: size.",False
NTPC,NTP6601,6205 Ball Bearing Deep Groove,BHEL,BHL1007,Deep Groove Ball Bearing 6206,Bearing,0.9932,0.6667,0.9677,0.8251000046730042,HIGH CONFIDENCE,size,"Semantic=0.993, Attribute=0.667, Lexical=0.968. Potential difference: size.",False
NTPC,NTP6601,6205 Ball Bearing Deep Groove,ONGC,ONG2202,Deep Groove Bearing 6206,Bearing,0.9932,0.6667,0.9677,0.8251000046730042,HIGH CONFIDENCE,size,"Semantic=0.993, Attribute=0.667, Lexical=0.968. Potential difference: size.",False
NTPC,NTP6601,6205 Ball Bearing Deep Groove,SAIL,STL3002,Ball Bearing 6206 Deep Groove,Bearing,0.9932,0.6667,0.9677,0.8251000046730042,HIGH CONFIDENCE,size,"Semantic=0.993, Attribute=0.667, Lexical=0.968. Potential difference: size.",False
SAIL,STL3001,Deep Groove Bearing No 6205,NTPC,NTP6602,6206 Deep Groove Bearing,Bearing,0.9932,0.6667,0.9677,0.8251000046730042,HIGH CONFIDENCE,size,"Semantic=0.993, Attribute=0.667, Lexical=0.968. Potential difference: size.",False
SAIL,STL3001,Deep Groove Bearing No 6205,BHEL,BHL1007,Deep Groove Ball Bearing 6206,Bearing,0.9932,0.6667,0.9677,0.8251000046730042,HIGH CONFIDENCE,size,"Semantic=0.993, Attribute=0.667, Lexical=0.968. Potential difference: size.",False
SAIL,STL3001,Deep Groove Bearing No 6205,ONGC,ONG2202,Deep Groove Bearing 6206,Bearing,0.9932,0.6667,0.9677,0.8251000046730042,HIGH CONFIDENCE,size,"Semantic=0.993, Attribute=0.667, Lexical=0.968. Potential difference: size.",False
ONGC,ONG2201,Ball Bearing 6205 Deep Groove,NTPC,NTP6602,6206 Deep Groove Bearing,Bearing,0.9932,0.6667,0.9677,0.8251000046730042,HIGH CONFIDENCE,size,"Semantic=0.993, Attribute=0.667, Lexical=0.968. Potential difference: size.",False
BHEL,BHL1001,SS Bolt M10 X 50,SAIL,STL2048,SS HEX BOLT M10-60,Fastener,0.9888,0.6667,0.9773,0.8242999911308289,HIGH CONFIDENCE,size,"Semantic=0.989, Attribute=0.667, Lexical=0.977. Potential difference: size.",False
NTPC,NTP4401,EP2 Lithium Base Grease,ONGC,ONG9901,EP-2 Lithium Grease,Lubricant,0.9923,0.6667,0.9643,0.8241000175476074,HIGH CONFIDENCE,grade/specification,"Semantic=0.992, Attribute=0.667, Lexical=0.964. Potential difference: grade/specification.",True
BHEL,BHL1005,GI Hex Bolt M12 X 75,ONGC,ONG1105,Galvanised Steel Bolt M12 75mm,Fastener,0.9943,0.6667,0.9231,0.8188999891281128,REVIEW REQUIRED,material,"Semantic=0.994, Attribute=0.667, Lexical=0.923. Potential difference: material.",True
NTPC,NTP5525,Galvanized Hexagonal Bolt 12mm x 75mm,SAIL,STL2049,GI HEX BOLT M12-75,Fastener,0.9943,0.6667,0.9231,0.8188999891281128,REVIEW REQUIRED,material,"Semantic=0.994, Attribute=0.667, Lexical=0.923. Potential difference: material.",True
SAIL,STL2049,GI HEX BOLT M12-75,ONGC,ONG1105,Galvanised Steel Bolt M12 75mm,Fastener,0.9943,0.6667,0.9231,0.8188999891281128,REVIEW REQUIRED,material,"Semantic=0.994, Attribute=0.667, Lexical=0.923. Potential difference: material.",True
BHEL,BHL1005,GI Hex Bolt M12 X 75,NTPC,NTP5525,Galvanized Hexagonal Bolt 12mm x 75mm,Fastener,0.9943,0.6667,0.9231,0.8188999891281128,REVIEW REQUIRED,material,"Semantic=0.994, Attribute=0.667, Lexical=0.923. Potential difference: material.",True
