prototype_canonical_material_code,canonical_category,canonical_material,canonical_size,canonical_unit,canonical_grade,source_material_count,source_cpse_count,source_cpses,source_material_codes,source_descriptions,ai_recommendation,human_decision,reviewer,review_timestamp,review_comment
PCM-VALV-012,Valve,Carbon Steel,25 NB,NOS,Class 150,2,2,"BHEL, SAIL",BHEL:BHL1012 | SAIL:STL4003,Globe Valve 25 NB Class 150 | Carbon Steel Globe Valve 25NB Class150,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-VALV-013,Valve,Ductile Iron,100 NB,NOS,PN16,4,4,"BHEL, NTPC, ONGC, SAIL",BHEL:BHL1013 | NTPC:NTP7704 | SAIL:STL4004 | ONGC:ONG3304,Butterfly Valve 100 NB PN16 | 100 NB Butterfly Valve PN 16 | DI Butterfly Valve 100NB PN16 | Butterfly Valve Size 100 NB Pressure PN16,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-GASK-014,Gasket,EPDM Rubber,50 NB,NOS,EPDM,2,2,"BHEL, SAIL",BHEL:BHL1014 | SAIL:STL5001,EPDM Rubber Gasket 50 NB | EPDM GASKET 50NB,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-CABL-016,Cable,Copper,2.5 mm2,MTR,FR,4,4,"BHEL, NTPC, ONGC, SAIL",BHEL:BHL1016 | NTPC:NTP9901 | SAIL:STL6001 | ONGC:ONG5501,Copper Cable 2.5 Sqmm | 2.5 sq mm Copper Electrical Cable | Copper Wire Cable 2.5mm2 | 2.5 Square MM Copper Cable,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-CABL-017,Cable,Aluminium,16 sqmm,MTR,XLPE,4,4,"BHEL, NTPC, ONGC, SAIL",BHEL:BHL1017 | NTPC:NTP9902 | SAIL:STL6002 | ONGC:ONG5502,Aluminium Cable 16 Sqmm | 16 Sq MM Aluminium Power Cable | Aluminium Cable 16mm2 XLPE | 16 Square MM Aluminium XLPE Cable,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-CABL-018,Cable,Copper,4 sqmm,MTR,FRLS,4,4,"BHEL, NTPC, ONGC, SAIL",BHEL:BHL1018 | NTPC:NTP9903 | SAIL:STL6003 | ONGC:ONG5503,FRLS Copper Cable 4 Sqmm | 4 Sq MM Copper FRLS Cable | Copper Cable 4mm2 Flame Retardant Low Smoke | FRLS Cu Cable 4 Square MM,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-PIPE-021,Pipe,Galvanized Iron,40 NB,MTR,Medium,2,2,"BHEL, SAIL",BHEL:BHL1021 | SAIL:STL7003,GI Pipe 40 NB Medium Class | GI PIPE DN40 MEDIUM,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-PUMP-024,Pump,Cast Iron,20 m3/hr,NOS,CI,3,3,"BHEL, NTPC, ONGC",BHEL:BHL1024 | NTPC:NTP3301 | ONGC:ONG8801,Centrifugal Pump 20 m3/hr | 20 Cubic Meter Per Hour Centrifugal Pump | CI Centrifugal Pump 20 Cubic Meter Hour,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-PUMP-025,Pump,Cast Iron,40 m3/hr,NOS,CI,3,3,"BHEL, ONGC, SAIL",BHEL:BHL1025 | SAIL:STL9002 | ONGC:ONG8802,Centrifugal Pump 40 m3/hr | Centrifugal Pump Capacity 40 M3/Hr | CI Centrifugal Pump 40 m3 per hour,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-WELD-028,Welding,Carbon Steel,3.15 mm,KG,E6013,2,2,"BHEL, SAIL",BHEL:BHL1028 | SAIL:STL11001,Carbon Steel Welding Electrode 3.15mm | CS Welding Rod E6013 3.15mm,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-PPE-030,PPE,ABS Plastic,Standard,NOS,IS 2925,2,2,"BHEL, SAIL",BHEL:BHL1030 | SAIL:STL12001,Safety Helmet ISI Approved | ISI Safety Helmet Industrial Type,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-PIPE-032,Pipe,SS,25 NB,Meter,Schedule 10,2,2,"NTPC, SAIL",NTPC:NTP1102 | SAIL:STL7002,Stainless Steel Seamless Pipe 25 NB Schedule 10 | SS SEAMLESS PIPE DN25 SCH10,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-PIPE-033,Pipe,GI,40 NB,Meter,Medium,2,2,"NTPC, ONGC",NTPC:NTP1103 | ONGC:ONG6603,40 NB Galvanized Iron Pipe Medium Grade | Galvanised Pipe 40 NB Medium Class,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-MOTR-034,Motor,3 Phase,5 HP,Nos,IE2,2,2,"NTPC, ONGC",NTPC:NTP2201 | ONGC:ONG7701,5 HP Three Phase Induction Motor 415 Volt | Three Phase Motor 5 HP 415 V,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-MOTR-035,Motor,3 Phase,10 HP,Nos,IE3,2,2,"NTPC, ONGC",NTPC:NTP2202 | ONGC:ONG7702,10 HP Three Phase Motor 415 Volt | Three Phase Induction Motor 10 HP,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-WELD-039,Welding,CS,3.15mm,Kg,E6013,2,2,"NTPC, ONGC",NTPC:NTP5501 | ONGC:ONG10001,E6013 Welding Electrode 3.15 MM | Welding Electrode E6013 Dia 3.15 MM,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-FAST-041,Fastener,SS,10 x 50,Nos,304,2,2,"NTPC, ONGC",NTPC:NTP5521 | ONGC:ONG1101,Stainless Steel Hex Bolt 10mm x 50mm | Stainless Steel Bolt M10 by 50,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-FAST-044,Fastener,SS,10 x 60,Nos,304,2,2,"NTPC, ONGC",NTPC:NTP5524 | ONGC:ONG1104,Stainless Steel Hex Bolt 10mm x 60mm | Stainless Steel Bolt M10 by 60,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-FAST-045,Fastener,GI,12 x 75,Nos,GI,2,2,"NTPC, ONGC",NTPC:NTP5525 | ONGC:ONG1105,Galvanized Hexagonal Bolt 12mm x 75mm | Galvanised Steel Bolt M12 75mm,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-VALV-048,Valve,CS,80 NB,Nos,150,2,2,"NTPC, ONGC",NTPC:NTP7702 | ONGC:ONG3302,80 NB Gate Valve CL 150 | Carbon Steel Gate Valve 80 NB,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-GASK-050,Gasket,EPDM,50 NB,Nos,EPDM,2,2,"NTPC, ONGC",NTPC:NTP8801 | ONGC:ONG4401,50 NB EPDM Gasket | EPDM Rubber Gasket Size 50 NB,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-GASK-051,Gasket,Graphite SS,100 NB,Nos,316/Graphite,2,2,"NTPC, ONGC",NTPC:NTP8802 | ONGC:ONG4402,100 NB Spiral Wound Graphite Gasket | Spiral Wound Gasket 100 NB Graphite,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
